,x,y,광역시도,행정구역,year_avg
강원도 강릉시,11,4,강원도,강릉시,49.0
강원도 고성군,9,0,강원도,고성군,0.0
강원도 동해시,11,5,강원도,동해시,41.0
강원도 삼척시,11,8,강원도,삼척시,43.0
강원도 속초시,9,1,강원도,속초시,0.0
강원도 양구군,8,0,강원도,양구군,0.0
강원도 양양군,10,2,강원도,양양군,0.0
강원도 영월군,10,8,강원도,영월군,0.0
강원도 원주시,10,7,강원도,원주시,56.0
강원도 인제군,9,2,강원도,인제군,0.0
강원도 정선군,11,6,강원도,정선군,0.0
강원도 철원군,6,0,강원도,철원군,0.0
강원도 춘천시,10,3,강원도,춘천시,51.0
강원도 태백시,11,7,강원도,태백시,0.0
강원도 평창군,10,6,강원도,평창군,0.0
강원도 홍천군,10,4,강원도,홍천군,0.0
강원도 화천군,7,0,강원도,화천군,0.0
강원도 횡성군,10,5,강원도,횡성군,0.0
경기도 가평군,9,3,경기도,가평군,44.0
경기도 고양시,4,2,경기도,고양시,47.0
경기도 과천시,7,7,경기도,과천시,45.0
경기도 광명시,3,3,경기도,광명시,45.0
경기도 광주시,8,7,경기도,광주시,54.0
경기도 구리시,9,4,경기도,구리시,46.0
경기도 군포시,5,8,경기도,군포시,50.0
경기도 김포시,2,3,경기도,김포시,52.0
경기도 남양주시,8,3,경기도,남양주시,49.0
경기도 동두천시,7,2,경기도,동두천시,58.0
경기도 부천시,2,4,경기도,부천시,47.0
경기도 성남시,7,8,경기도,성남시,50.0
경기도 수원시,6,9,경기도,수원시,40.0
경기도 시흥시,3,5,경기도,시흥시,52.0
경기도 안산시,3,6,경기도,안산시,51.0
경기도 안성시,4,8,경기도,안성시,45.0
경기도 안양시,3,4,경기도,안양시,43.0
경기도 양주시,8,2,경기도,양주시,23.0
경기도 양평군,9,6,경기도,양평군,21.0
경기도 여주시,9,7,경기도,여주시,52.0
경기도 연천군,7,1,경기도,연천군,44.0
경기도 오산시,3,8,경기도,오산시,53.0
경기도 용인시,7,9,경기도,용인시,52.0
경기도 의왕시,6,8,경기도,의왕시,49.0
경기도 의정부시,7,3,경기도,의정부시,52.0
경기도 이천시,8,8,경기도,이천시,53.0
경기도 파주시,3,2,경기도,파주시,46.0
경기도 평택시,5,9,경기도,평택시,58.0
경기도 포천시,8,1,경기도,포천시,54.0
경기도 하남시,9,5,경기도,하남시,47.0
경기도 화성시,3,7,경기도,화성시,48.0
경상남도 거제시,9,20,경상남도,거제시,43.0
경상남도 거창군,6,15,경상남도,거창군,0.0
경상남도 고성군,7,19,경상남도,고성군,0.0
경상남도 김해시,8,19,경상남도,김해시,42.0
경상남도 남해군,6,19,경상남도,남해군,0.0
경상남도 밀양시,8,16,경상남도,밀양시,0.0
경상남도 사천시,6,18,경상남도,사천시,38.0
경상남도 산청군,5,18,경상남도,산청군,0.0
경상남도 양산시,8,17,경상남도,양산시,47.0
경상남도 의령군,7,16,경상남도,의령군,0.0
경상남도 진주시,6,17,경상남도,진주시,51.0
경상남도 창녕군,7,15,경상남도,창녕군,0.0
경상남도 창원시,7,18,경상남도,창원시,46.0
경상남도 통영시,8,20,경상남도,통영시,0.0
경상남도 하동군,5,19,경상남도,하동군,49.0
경상남도 함안군,7,17,경상남도,함안군,0.0
경상남도 함양군,6,16,경상남도,함양군,0.0
경상남도 합천군,7,14,경상남도,합천군,0.0
경상북도 경산시,11,12,경상북도,경산시,44.0
경상북도 경주시,12,12,경상북도,경주시,39.0
경상북도 고령군,7,13,경상북도,고령군,0.0
경상북도 구미시,9,10,경상북도,구미시,46.0
경상북도 군위군,9,11,경상북도,군위군,0.0
경상북도 김천시,8,11,경상북도,김천시,45.0
경상북도 문경시,9,8,경상북도,문경시,0.0
경상북도 봉화군,11,9,경상북도,봉화군,0.0
경상북도 상주시,8,9,경상북도,상주시,0.0
경상북도 성주군,8,12,경상북도,성주군,0.0
경상북도 안동시,10,10,경상북도,안동시,40.0
경상북도 영덕군,12,10,경상북도,영덕군,0.0
경상북도 영양군,11,10,경상북도,영양군,0.0
경상북도 영주시,10,9,경상북도,영주시,43.0
경상북도 영천시,10,12,경상북도,영천시,0.0
경상북도 예천군,9,9,경상북도,예천군,0.0
경상북도 울릉군,13,6,경상북도,울릉군,0.0
경상북도 울진군,12,9,경상북도,울진군,0.0
경상북도 의성군,10,11,경상북도,의성군,0.0
경상북도 청도군,8,13,경상북도,청도군,0.0
경상북도 청송군,11,11,경상북도,청송군,0.0
경상북도 칠곡군,9,12,경상북도,칠곡군,0.0
경상북도 포항시,12,11,경상북도,포항시,41.0
광주광역시 광산구,2,19,광주광역시,광산구,30.0
광주광역시 남구,2,21,광주광역시,남구,41.0
광주광역시 동구,3,20,광주광역시,동구,36.0
광주광역시 북구,3,19,광주광역시,북구,42.0
광주광역시 서구,2,20,광주광역시,서구,0.0
대구광역시 남구,9,14,대구광역시,남구,40.0
대구광역시 달서구,8,15,대구광역시,달서구,21.0
대구광역시 달성군,9,15,대구광역시,달성군,40.0
대구광역시 동구,11,13,대구광역시,동구,48.0
대구광역시 북구,9,13,대구광역시,북구,51.0
대구광역시 서구,8,14,대구광역시,서구,48.0
대구광역시 수성구,10,14,대구광역시,수성구,42.0
대구광역시 중구,10,13,대구광역시,중구,48.0
대전광역시 대덕구,5,12,대전광역시,대덕구,50.0
대전광역시 동구,5,13,대전광역시,동구,45.0
대전광역시 서구,4,14,대전광역시,서구,40.0
대전광역시 유성구,4,13,대전광역시,유성구,44.0
대전광역시 중구,5,14,대전광역시,중구,44.0
부산광역시 강서구,8,18,부산광역시,강서구,52.0
부산광역시 금정구,10,15,부산광역시,금정구,42.0
부산광역시 기장군,12,16,부산광역시,기장군,38.0
부산광역시 남구,11,19,부산광역시,남구,41.0
부산광역시 동구,10,17,부산광역시,동구,41.0
부산광역시 동래구,11,16,부산광역시,동래구,45.0
부산광역시 부산진구,10,16,부산광역시,부산진구,49.0
부산광역시 북구,9,16,부산광역시,북구,45.0
부산광역시 사상구,9,17,부산광역시,사상구,53.0
부산광역시 사하구,9,19,부산광역시,사하구,52.0
부산광역시 서구,9,18,부산광역시,서구,37.0
부산광역시 수영구,11,18,부산광역시,수영구,36.0
부산광역시 연제구,11,17,부산광역시,연제구,48.0
부산광역시 영도구,10,19,부산광역시,영도구,48.0
부산광역시 중구,10,18,부산광역시,중구,48.0
부산광역시 해운대구,12,17,부산광역시,해운대구,38.0
서울특별시 강남구,6,7,서울특별시,강남구,46.0
서울특별시 강동구,8,5,서울특별시,강동구,44.0
서울특별시 강북구,5,2,서울특별시,강북구,44.0
서울특별시 강서구,4,4,서울특별시,강서구,47.0
서울특별시 관악구,5,6,서울특별시,관악구,51.0
서울특별시 광진구,7,6,서울특별시,광진구,45.0
서울특별시 구로구,4,7,서울특별시,구로구,46.0
서울특별시 금천구,5,7,서울특별시,금천구,45.0
서울특별시 노원구,6,1,서울특별시,노원구,46.0
서울특별시 도봉구,5,1,서울특별시,도봉구,43.0
서울특별시 동대문구,7,4,서울특별시,동대문구,44.0
서울특별시 동작구,5,5,서울특별시,동작구,44.0
서울특별시 마포구,5,4,서울특별시,마포구,46.0
서울특별시 서대문구,5,3,서울특별시,서대문구,42.0
서울특별시 서초구,6,6,서울특별시,서초구,47.0
서울특별시 성동구,7,5,서울특별시,성동구,45.0
서울특별시 성북구,6,2,서울특별시,성북구,42.0
서울특별시 송파구,8,6,서울특별시,송파구,44.0
서울특별시 양천구,4,5,서울특별시,양천구,46.0
서울특별시 영등포구,4,6,서울특별시,영등포구,47.0
서울특별시 용산구,6,5,서울특별시,용산구,42.0
서울특별시 은평구,4,3,서울특별시,은평구,45.0
서울특별시 종로구,6,3,서울특별시,종로구,50.0
서울특별시 중구,6,4,서울특별시,중구,45.0
서울특별시 중랑구,8,4,서울특별시,중랑구,45.0
세종특별자치시 세종시,4,11,세종특별자치시,세종시,0.0
울산광역시 남구,12,15,울산광역시,남구,42.0
울산광역시 동구,12,14,울산광역시,동구,45.0
울산광역시 북구,12,13,울산광역시,북구,43.0
울산광역시 울주군,11,15,울산광역시,울주군,42.0
울산광역시 중구,11,14,울산광역시,중구,43.0
인천광역시 강화군,1,3,인천광역시,강화군,52.0
인천광역시 계양구,2,5,인천광역시,계양구,53.0
인천광역시 남구,2,7,인천광역시,남구,65.0
인천광역시 남동구,2,8,인천광역시,남동구,51.0
인천광역시 동구,1,5,인천광역시,동구,44.0
인천광역시 부평구,2,6,인천광역시,부평구,41.0
인천광역시 서구,1,4,인천광역시,서구,46.0
인천광역시 연수구,1,8,인천광역시,연수구,38.0
인천광역시 옹진군,0,8,인천광역시,옹진군,0.0
인천광역시 중구,1,7,인천광역시,중구,55.0
전라남도 강진군,1,22,전라남도,강진군,0.0
전라남도 고흥군,3,22,전라남도,고흥군,0.0
전라남도 곡성군,3,18,전라남도,곡성군,0.0
전라남도 광양시,5,20,전라남도,광양시,40.0
전라남도 구례군,4,18,전라남도,구례군,0.0
전라남도 나주시,1,20,전라남도,나주시,0.0
전라남도 담양군,2,18,전라남도,담양군,0.0
전라남도 목포시,0,20,전라남도,목포시,39.0
전라남도 무안군,1,19,전라남도,무안군,0.0
전라남도 보성군,3,21,전라남도,보성군,0.0
전라남도 순천시,4,20,전라남도,순천시,36.0
전라남도 신안군,0,19,전라남도,신안군,0.0
전라남도 여수시,4,21,전라남도,여수시,35.0
전라남도 영광군,1,17,전라남도,영광군,0.0
전라남도 영암군,1,21,전라남도,영암군,55.0
전라남도 완도군,2,23,전라남도,완도군,0.0
전라남도 장성군,2,17,전라남도,장성군,0.0
전라남도 장흥군,2,22,전라남도,장흥군,0.0
전라남도 진도군,0,22,전라남도,진도군,0.0
전라남도 함평군,1,18,전라남도,함평군,0.0
전라남도 해남군,0,21,전라남도,해남군,0.0
전라남도 화순군,4,19,전라남도,화순군,0.0
전라북도 고창군,1,16,전라북도,고창군,23.0
전라북도 군산시,2,14,전라북도,군산시,44.0
전라북도 김제시,3,15,전라북도,김제시,0.0
전라북도 남원시,5,17,전라북도,남원시,47.0
전라북도 무주군,5,15,전라북도,무주군,0.0
전라북도 부안군,2,15,전라북도,부안군,28.0
전라북도 순창군,3,17,전라북도,순창군,0.0
전라북도 완주군,4,15,전라북도,완주군,0.0
전라북도 익산시,3,14,전라북도,익산시,53.0
전라북도 임실군,4,17,전라북도,임실군,0.0
전라북도 장수군,5,16,전라북도,장수군,0.0
전라북도 전주시,3,16,전라북도,전주시,46.0
전라북도 정읍시,2,16,전라북도,정읍시,47.0
전라북도 진안군,4,16,전라북도,진안군,0.0
제주특별자치도 서귀포시,4,25,제주특별자치도,서귀포시,40.0
