,x,y,광역시도,행정구역,year_avg
강원도 강릉시,11,4,강원도,강릉시,45
강원도 고성군,9,0,강원도,고성군,0
강원도 동해시,11,5,강원도,동해시,37
강원도 삼척시,11,8,강원도,삼척시,38
강원도 속초시,9,1,강원도,속초시,0
강원도 양구군,8,0,강원도,양구군,0
강원도 양양군,10,2,강원도,양양군,0
강원도 영월군,10,8,강원도,영월군,0
강원도 원주시,10,7,강원도,원주시,50
강원도 인제군,9,2,강원도,인제군,0
강원도 정선군,11,6,강원도,정선군,0
강원도 철원군,6,0,강원도,철원군,0
강원도 춘천시,10,3,강원도,춘천시,42
강원도 태백시,11,7,강원도,태백시,0
강원도 평창군,10,6,강원도,평창군,0
강원도 홍천군,10,4,강원도,홍천군,0
강원도 화천군,7,0,강원도,화천군,0
강원도 횡성군,10,5,강원도,횡성군,0
경기도 가평군,9,3,경기도,가평군,44
경기도 고양시,4,2,경기도,고양시,54
경기도 과천시,7,7,경기도,과천시,45
경기도 광명시,3,3,경기도,광명시,51
경기도 광주시,8,7,경기도,광주시,49
경기도 구리시,9,4,경기도,구리시,58
경기도 군포시,5,8,경기도,군포시,51
경기도 김포시,2,3,경기도,김포시,63
경기도 남양주시,8,3,경기도,남양주시,43
경기도 동두천시,7,2,경기도,동두천시,49
경기도 부천시,2,4,경기도,부천시,48
경기도 성남시,7,8,경기도,성남시,43
경기도 수원시,6,9,경기도,수원시,47
경기도 시흥시,3,5,경기도,시흥시,52
경기도 안산시,3,6,경기도,안산시,48
경기도 안성시,4,8,경기도,안성시,55
경기도 안양시,3,4,경기도,안양시,49
경기도 양주시,8,2,경기도,양주시,51
경기도 양평군,9,6,경기도,양평군,46
경기도 여주시,9,7,경기도,여주시,57
경기도 연천군,7,1,경기도,연천군,45
경기도 오산시,3,8,경기도,오산시,50
경기도 용인시,7,9,경기도,용인시,49
경기도 의왕시,6,8,경기도,의왕시,49
경기도 의정부시,7,3,경기도,의정부시,54
경기도 이천시,8,8,경기도,이천시,54
경기도 파주시,3,2,경기도,파주시,52
경기도 평택시,5,9,경기도,평택시,62
경기도 포천시,8,1,경기도,포천시,47
경기도 하남시,9,5,경기도,하남시,50
경기도 화성시,3,7,경기도,화성시,56
경상남도 거제시,9,20,경상남도,거제시,41
경상남도 거창군,6,15,경상남도,거창군,0
경상남도 고성군,7,19,경상남도,고성군,0
경상남도 김해시,8,19,경상남도,김해시,36
경상남도 남해군,6,19,경상남도,남해군,0
경상남도 밀양시,8,16,경상남도,밀양시,5
경상남도 사천시,6,18,경상남도,사천시,36
경상남도 산청군,5,18,경상남도,산청군,0
경상남도 양산시,8,17,경상남도,양산시,45
경상남도 의령군,7,16,경상남도,의령군,0
경상남도 진주시,6,17,경상남도,진주시,44
경상남도 창녕군,7,15,경상남도,창녕군,0
경상남도 창원시,7,18,경상남도,창원시,44
경상남도 통영시,8,20,경상남도,통영시,4
경상남도 하동군,5,19,경상남도,하동군,46
경상남도 함안군,7,17,경상남도,함안군,0
경상남도 함양군,6,16,경상남도,함양군,0
경상남도 합천군,7,14,경상남도,합천군,0
경상북도 경산시,11,12,경상북도,경산시,43
경상북도 경주시,12,12,경상북도,경주시,34
경상북도 고령군,7,13,경상북도,고령군,0
경상북도 구미시,9,10,경상북도,구미시,41
경상북도 군위군,9,11,경상북도,군위군,0
경상북도 김천시,8,11,경상북도,김천시,41
경상북도 문경시,9,8,경상북도,문경시,0
경상북도 봉화군,11,9,경상북도,봉화군,0
경상북도 상주시,8,9,경상북도,상주시,0
경상북도 성주군,8,12,경상북도,성주군,0
경상북도 안동시,10,10,경상북도,안동시,38
